AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Idaho,All,2023-24,16,,4.5,4.5,1,13,2,14,311,> 100%
State,Idaho,All,2023-24,17,,2.6,2.6,0,9,0,9,341,> 100%
State,Idaho,All,2023-24,18,,4,4.3,0,13,1,14,327,> 100%
State,Idaho,All,2023-24,19,,3.5,4.5,0,11,5,14,311,> 100%
State,Idaho,All,2023-24,20,,3.4,3.8,0,10,1,11,291,> 100%
State,Idaho,All,2023-24,21,,5.1,5.5,0,15,1,16,292,> 100%
State,Idaho,All,2023-24,22,,5.1,5.4,0,15,2,16,297,> 100%
State,Idaho,All,2023-24,23,,4.9,5.2,0,17,2,18,348,> 100%
State,Idaho,All,2023-24,24,,3.1,4,1,9,3,13,321,> 100%
State,Idaho,All,2023-24,25,,4,4,0,13,1,13,322,> 100%
State,Idaho,All,2023-24,26,,2.4,3.3,0,8,3,11,338,> 100%
State,Idaho,All,2023-24,27,,4.4,5.1,0,13,2,15,294,> 100%
State,Idaho,All,2023-24,28,,4.8,4.8,0,15,0,15,310,> 100%
State,Idaho,All,2023-24,29,,3.2,3.2,0,10,1,10,315,> 100%
State,Idaho,All,2023-24,30,,2.5,3.1,1,7,2,10,318,> 100%
